Site,Date Range of Specimen Collection,Round,Catchment FIPS Code Description,Catchment Area Description,Catchment population,n [0-17 Years Prevalence],Rate (%) [0-17 Years Prevalence],Lower CI [0-17 Years Prevalence],Upper CI [0-17 Years Prevalence],CI Flag [0-17 Years Prevalence],n [18-49 Years Prevalence],Rate (%) [18-49 Years Prevalence],Lower CI [18-49 Years Prevalence],Upper CI [18-49 Years Prevalence],CI Flag [18-49 Years Prevalence],n [50-64 Years Prevalence],Rate (%) [50-64 Years Prevalence],Lower CI [50-64 Years Prevalence],Upper CI [50-64 Years Prevalence],CI Flag [50-64 Years Prevalence],n [65+ Years Prevalence],Rate (%) [65+ Years Prevalence],Lower CI [65+ Years Prevalence],Upper CI [65+ Years Prevalence],CI Flag [65+ Years Prevalence],n [Male Prevalence],Rate (%) [Male Prevalence],Lower CI [Male Prevalence],Upper CI [Male Prevalence],CI Flag [Male Prevalence],n [Female Prevalence],Rate (%) [Female Prevalence],Lower CI [Female Prevalence],Upper CI [Female Prevalence],CI Flag [Female Prevalence],n [Cumulative Prevalence],Rate (%) [Cumulative Prevalence],Lower CI [Cumulative Prevalence],Upper CI [Cumulative Prevalence],CI Flag [Cumulative Prevalence],Estimated cumulative infections count,Estimated cumulative infections lower CI 7,Estimated cumulative infections upper CI 7,All age-sex strata had at least one positive,Site Large CI Flag
WI,"Sep 23 -  Oct 6, 2020",5,Statewide,Statewide,5778394,82,1.4,0,4.91,1,305,3.7,1.66,6.45,0,333,5.1,2.64,8.08,0,258,1.4,0,3.1,0,445,3.5,1.53,6.18,0,533,2.8,1.55,4.29,0,978,3.1,1.96,4.62,0,179130,113257,266962,true,true
WV,"Sep 23 -  Oct 8, 2020",5,Statewide,Statewide,1829054,28,777,,,,321,1.5,0.25,3,0,326,1.1,0,2.52,0,284,3.2,0.94,6.26,0,438,2.7,0.44,6.43,1,521,3.7,0.9,8.7,0,959,3.2,1.11,6.18,0,58530,20302,113036,true,true
WY,"Sep 23 -  Oct 7, 2020",5,Statewide,Statewide,581836,3,777,,,,37,777,,,,62,777,,,,16,777,,,,65,777,,,,53,777,,,,118,4.2,0.68,9.25,0,24437,3956,53820,false,false
AK,"Oct 6 - Oct 21, 2020",6,Statewide,Statewide,738516,13,777,,,,421,1.7,0.37,3.34,0,281,2.6,0.66,4.71,0,256,2.6,0.56,5.05,0,412,1.5,0.6,2.94,0,559,1.6,0.51,2.86,0,971,1.5,0.79,2.46,0,11078,5834,18167,false,false
AL,"Oct 7 - Oct 21, 2020",6,Statewide,Statewide,4864680,248,16,10.98,22.08,0,248,14.3,9.71,18.87,0,250,8.1,4.75,12.18,0,250,7.3,4.03,11.5,0,404,12.3,8.68,16.28,0,592,12.4,9.42,15.87,0,996,12.3,10,14.99,0,598356,486468,729216,true,false
AR,"Oct 7 - Oct 22, 2020",6,Statewide,Statewide,2990671,168,16.5,10.51,22.76,0,316,8.7,5.57,11.99,0,244,6.1,2.98,9.37,0,243,2.5,0.7,4.68,0,422,9.3,6.28,12.78,0,549,8.8,6.02,11.74,0,971,9,7.14,11.38,0,269160,213534,340338,true,false
AZ,"Oct 7 - Oct 21, 2020",6,Statewide,Statewide,6946685,23,777,,,,485,8.8,3.74,15.94,0,287,3.2,0.39,7.91,1,145,3.5,0.18,8.81,1,135,5.7,1.11,11.62,0,805,4,2.76,5.25,0,940,4.8,2.55,7.89,0,333441,177140,548093,false,true
CA,"Oct 8 - Oct 13, 2020",6,Statewide,Statewide,39148760,245,4.7,1.83,7.86,0,245,5.7,2.46,9.13,0,245,3.1,0.8,5.78,0,245,2.4,0.71,4.58,0,392,3.9,1.63,6.46,0,588,5.1,3.05,7.42,0,980,4.5,2.9,6.42,0,1761694,1135314,2513350,true,false
CO,"Oct 8 - Oct 19, 2020",6,Statewide,Statewide,5531141,242,8.4,3.72,14.65,0,246,3.9,1.52,6.83,0,245,3.1,1.05,5.53,0,245,1.4,0.28,3.06,1,437,5.1,2.38,8.37,0,541,3.8,1.96,5.94,0,978,4.4,2.82,6.51,0,243370,155978,360077,true,true
CT,"Oct 8 - Oct 13, 2020",6,Statewide,Statewide,3581504,246,2.8,0.86,5.17,0,245,2.3,0.47,4.62,0,248,1.5,0,3.39,0,249,2.6,0.76,4.8,0,427,2.7,1.11,4.57,0,561,1.9,0.76,3.35,0,988,2.3,1.32,3.52,0,82375,47276,126069,true,false
DC,"Oct 7 - Oct 22, 2020",6,Statewide,Statewide,684498,81,7.4,1.87,13.79,0,425,7,4.35,9.83,0,218,7.9,4.35,12.41,0,303,3.8,1.55,6.44,0,465,7.8,5.11,10.95,0,562,5.9,3.69,8.53,0,1027,6.8,4.99,8.89,0,46546,34156,60852,true,false
DE,"Oct 7 - Oct 22, 2020",6,Statewide,Statewide,949495,45,777,,,,292,9.8,6.17,14.71,0,293,3.3,1.25,5.77,0,350,2.4,0.77,4.78,0,400,4.1,1.98,6.88,0,580,10.4,6.42,15.05,0,980,7.4,4.95,9.88,0,70263,47000,93810,true,false
FL,"Oct 9 -  Oct 9, 2020",6,Statewide,Statewide,20598139,246,6.1,2.89,9.68,0,245,11.7,6.62,16.82,0,246,6.6,3.55,10.23,0,246,4.1,1.51,7.3,0,386,7.6,4.44,11.18,0,597,8.4,5.95,11.51,0,983,8,6.01,10.22,0,1647851,1237948,2105130,true,false
GA,"Oct 6 - Oct 13, 2020",6,Statewide,Statewide,10297484,249,6.6,3.6,10.13,0,250,11.1,6.61,16.3,0,259,6.5,3.34,10.43,0,250,6.2,3.01,10.01,0,442,8.2,5.19,11.67,0,566,8.8,5.47,12.72,0,1008,8.5,6.17,11.18,0,875286,635355,1151259,true,false
HI,"Oct 6 - Oct 22, 2020",6,Statewide,Statewide,1422029,16,777,,,,204,1.6,0,3.68,0,21,777,,,,198,3,0.69,6.23,0,137,1.2,0,2.93,0,302,2.8,0.32,6.82,1,439,2,0.55,4.19,0,28441,7821,59583,false,true
IA,"Oct 7 - Oct 22, 2020",6,Statewide,Statewide,3132499,21,777,,,,375,16.2,12.05,20.33,0,295,10,6.37,14.22,0,285,8.3,4.83,11.66,0,434,10.5,7.62,13.73,0,542,15.4,8.96,23.5,0,976,13,9.28,18.19,0,407225,290696,569802,true,false
ID,"Oct 5 - Oct 21, 2020",6,Statewide,Statewide,1687809,10,777,,,,366,6.9,3.82,10.46,0,247,4.2,1.11,8.18,0,362,3.4,1.68,5.53,0,398,3.1,1.51,5.77,0,587,5.2,2.83,8.58,0,985,4.2,2.64,6.02,0,70888,44558,101606,false,false
IL,"Oct 7 - Oct 13, 2020",6,Statewide,Statewide,12821497,246,3.5,1.49,5.96,0,244,8.6,5.2,12.31,0,245,3.6,1.48,6.28,0,244,4.1,1.8,7.2,0,426,4.4,2.19,6.69,0,553,7.1,4.47,9.75,0,979,5.8,4.14,7.54,0,743647,530810,966741,true,false
IN,"Oct 7 - Oct 20, 2020",6,Statewide,Statewide,6637426,18,777,,,,681,3.4,1.73,5.21,0,263,4.5,1.2,9.51,0,261,1.3,0.12,2.75,0,305,1.6,0.22,3.72,0,918,7.5,3.03,13.44,0,1223,4.6,2.27,7.83,0,305322,150670,519710,true,false
KS,"Oct 6 - Oct 22, 2020",6,Statewide,Statewide,2908776,239,7.6,3.85,11.44,0,242,9.1,5.13,13.39,0,242,4.1,1.57,6.99,0,244,4.6,1.84,7.83,0,433,8.1,5.23,11.37,0,534,6.1,3.79,8.52,0,967,7.1,5.16,9.18,0,206523,150093,267026,true,false
KY,"Oct 7 - Oct 16, 2020",6,Statewide,Statewide,4440204,39,777,,,,376,4.8,2.46,7.1,0,288,3.7,1.52,6.23,0,277,1.4,0.24,3.13,0,429,2.3,0.8,4.05,0,551,4.3,2.38,6.68,0,980,3.3,1.95,4.72,0,146527,86584,209578,true,false
LA,"Oct 6 - Oct 19, 2020",6,Statewide,Statewide,4663616,245,16.7,11.88,22.52,0,245,9.2,5.08,13.91,0,245,6,2.79,9.43,0,245,5,2.58,8.37,0,376,8.9,5.62,13.09,0,604,10.7,7.64,13.87,0,980,9.8,7.36,12.46,0,457034,343242,581087,true,false
MA,"Oct 9 - Oct 13, 2020",6,Statewide,Statewide,6830193,243,3,0.79,5.69,0,245,2.2,0.43,4.42,0,248,3.2,1.17,5.81,0,243,2.1,0.37,4.25,0,433,2.4,0.78,4.28,0,546,2.7,1.24,4.36,0,979,2.6,1.5,3.88,0,177585,102453,265011,true,false
MD,"Oct 10 - Oct 21, 2020",6,Statewide,Statewide,6003435,40,777,,,,187,18.9,13.19,25.63,0,205,6.6,3.2,10.52,0,195,3.8,1.41,6.94,0,357,15.2,10.89,20.46,0,270,7.8,3.76,12.98,0,627,11.4,8.27,14.84,0,684392,496484,890910,true,false
ME,"Oct 9 - Oct 22, 2020",6,Statewide,Statewide,1332813,35,777,,,,379,0.5,0,1.41,1,255,1.1,0,2.98,1,314,0.9,0,2.71,1,367,0.8,0,1.93,1,616,0.5,0.09,1.09,0,983,0.6,0.16,1.25,0,7997,2133,16660,false,true
MI,"Oct 6 - Oct 16, 2020",6,Statewide,Statewide,9957488,244,4.2,1.71,7.51,0,245,3.6,1.24,6.23,0,245,2.1,0.34,4.4,0,245,2.3,0.39,4.73,0,456,3.1,1.56,5.1,0,523,3.3,1.59,5.08,0,979,3.2,1.96,4.55,0,318640,195167,453066,true,false
MN,"Oct 6 - Oct 22, 2020",6,Statewide,Statewide,5527358,97,7.4,2.49,13.35,0,358,8.9,5.13,12.5,0,287,6.8,3.53,10.93,0,242,4.6,1.74,8.33,0,419,7.3,4.24,11.22,0,565,7.6,5.08,10.42,0,984,7.5,5.36,10.01,0,414552,296266,553289,true,false
MO,"Oct 7 - Oct 15, 2020",6,Statewide,Statewide,6090062,243,11.7,7.09,16.74,0,244,7.2,3.49,11.46,0,244,1.7,0,4.17,1,245,3.2,1.18,5.43,0,428,5.6,2.88,8.57,0,548,7.3,4.36,10.47,0,976,6.5,4.37,8.64,0,395854,266136,526181,true,true
MS,"Oct 5 - Oct 20, 2020",6,Statewide,Statewide,2988762,47,777,,,,307,17.2,12.11,23.17,0,309,8.4,5.19,12.3,0,309,5.4,2.57,8.99,0,391,10.9,5.75,16.91,0,581,15.2,9.91,20.91,0,972,13.1,9.4,17.24,0,391528,280944,515263,true,false
MT,"Oct 7 - Oct 21, 2020",6,Statewide,Statewide,1041732,26,777,,,,207,3.2,0.92,6.02,0,180,3.4,1.16,6.44,0,175,2.7,0.4,5.85,0,240,3.4,0.85,7.22,0,348,3,1.16,5.08,0,588,3.2,1.57,5.01,0,33335,16355,52191,true,false
NC,"Oct 6 - Oct 19, 2020",6,Statewide,Statewide,10155624,249,2.9,0.81,5.22,0,248,3.5,0.94,6.36,0,249,3.1,1.07,5.74,0,249,4.6,2.04,7.66,0,428,4.1,1.75,6.69,0,567,2.8,1.43,4.47,0,995,3.5,2.05,5.04,0,355447,208190,511843,true,false
ND,"Oct 6 - Oct 16, 2020",6,Statewide,Statewide,752201,4,777,,,,22,777,,,,18,777,,,,11,777,,,,26,777,,,,29,777,,,,55,777,,,,,,,false,
NE,"Oct 7 - Oct 21, 2020",6,Statewide,Statewide,1904760,109,13.3,6.34,22.75,0,316,13,9,17.95,0,307,11.6,7.68,16.15,0,234,2.6,0.93,4.86,0,467,11.6,7.66,16.05,0,499,10.9,7.53,14.31,0,966,11.3,8.6,14.13,0,215238,163809,269143,true,false
NH,"Oct 9 - Oct 15, 2020",6,Statewide,Statewide,1343622,38,777,,,,270,0.5,0,1.77,1,291,2.2,0.67,4.17,0,381,0.6,0,1.94,1,396,0.7,0.03,1.63,0,584,0.9,0.28,1.7,0,980,0.8,0.31,1.42,0,10749,4165,19079,false,true
NJ,"Oct 7 - Oct 21, 2020",6,Statewide,Statewide,8881845,145,12.4,6.88,18.63,0,250,15,10.92,19.88,0,241,12,7.88,16.13,0,253,6.3,3.47,9.53,0,428,13.3,9.65,16.96,0,461,11.6,8.41,14.91,0,889,12.4,10.02,15.17,0,1101349,889961,1347376,true,false
NM,"Oct 6 - Oct 20, 2020",6,Statewide,Statewide,2092434,197,4,1.51,7.28,0,260,6.8,3.5,10.91,0,260,3.9,1.4,7.02,0,259,1.9,0.41,3.98,1,383,3.9,1.56,6.47,0,593,5.6,3.3,7.97,0,976,4.8,3.26,6.62,0,100437,68213,138519,true,true
NV,"Oct 6 - Oct 16, 2020",6,Statewide,Statewide,2922849,245,10.6,6.89,15,0,246,9.2,5.49,13.29,0,245,3.4,1.25,5.87,0,245,7.6,4.04,11.43,0,370,8.3,5.43,11.49,0,611,8,5.69,10.77,0,981,8.2,6.4,10.06,0,239674,187062,294039,true,false
NY,"Oct 9 - Oct 21, 2020",6,Statewide,Statewide,19618453,221,20.8,14.84,26.67,0,210,28.3,22.69,34.86,0,162,18,11.52,24.91,0,227,11,7.07,15.43,0,347,22.5,17.37,28.05,0,473,21.4,17.28,25.44,0,820,21.9,18.72,25.25,0,4296441,3672574,4953659,true,false
OH,"Oct 6 - Oct 22, 2020",6,Statewide,Statewide,11641879,121,2.4,0,5.83,1,284,1.2,0,2.87,1,273,1.9,0.37,4.03,0,302,2.1,0.49,4.08,0,467,1.8,0.63,3.32,0,513,1.7,0.49,3.19,0,980,1.8,0.94,2.75,0,209554,109434,320152,true,true
OK,"Oct 7 - Oct 14, 2020",6,Statewide,Statewide,3918137,245,5.3,2.46,8.9,0,244,10.9,5.85,15.84,0,245,4.3,1.72,7.1,0,246,5,2.09,8.06,0,408,8.2,4.79,11.83,0,572,6.6,3.92,9.47,0,980,7.4,5.08,9.71,0,289942,199041,380451,true,false
OR,"Oct 7 - Oct 19, 2020",6,Statewide,Statewide,4081943,46,777,,,,251,2.6,0.82,4.68,0,337,1.9,0.68,3.48,0,338,0.7,0,1.73,1,426,2,0.32,4.92,1,546,2.1,0.81,3.75,0,972,2.1,0.87,3.59,0,85721,35513,146542,true,true
PA,"Oct 8 - Oct 21, 2020",6,Statewide,Statewide,12791181,54,777,,,,527,14,11.05,17.1,0,231,13.7,9.06,19.05,0,134,1.1,0,2.61,1,703,14.9,12.14,18.13,0,243,6.1,2.77,10.64,0,946,10.5,8.39,13.16,0,1343074,1073180,1683319,true,true
PR,"Oct 5 - Oct 13, 2020",6,Statewide,Statewide,3386941,245,1.1,0,2.66,1,245,3.2,0.82,5.95,0,245,4.5,1.85,7.7,0,245,2.2,0.64,4.59,0,387,2.9,1.09,5.08,0,593,2.8,1.42,4.34,0,980,2.8,1.64,4.38,0,94834,55546,148348,true,true
RI,"Oct 9 - Oct 22, 2020",6,Statewide,Statewide,1056611,26,777,,,,309,3,1.03,5.21,0,217,5.1,2.19,8.49,0,208,0.4,0,1.49,1,338,2.7,1.15,4.42,0,422,2.2,0.94,3.69,0,760,2.4,1.43,3.54,0,25359,15110,37404,false,true
SC,"Oct 7 - Oct 21, 2020",6,Statewide,Statewide,4955925,82,9.1,2.97,16.49,0,247,9.8,6.21,13.94,0,344,7.3,4.43,10.52,0,358,2.9,1.35,4.88,0,432,4.9,2.28,8.3,0,599,10.9,7.23,14.79,0,1031,8,5.78,10.49,0,396474,286452,519877,true,false
SD,"Oct 7 - Oct 22, 2020",6,Statewide,Statewide,864289,3,777,,,,19,777,,,,5,777,,,,7,777,,,,21,777,,,,13,777,,,,34,777,,,,,,,false,
TN,"Oct 7 - Oct 15, 2020",6,Statewide,Statewide,6651089,243,11,6.21,15.8,0,252,12.5,8.28,16.89,0,250,7.4,3.91,11.17,0,250,4.4,1.66,7.48,0,425,9.4,5.82,13.2,0,570,10.3,7.35,13.55,0,995,9.9,7.49,12.26,0,658458,498167,815424,true,false
TX,"Oct 5 - Oct 19, 2020",6,Statewide,Statewide,27885195,246,13.8,9.71,18.65,0,250,9.1,5.53,13.49,0,247,12.2,7.55,17.99,0,249,5.1,2.48,8.23,0,453,10.9,7.47,15.22,0,539,9.9,7.05,13.01,0,992,10.4,8.15,12.98,0,2900060,2272643,3619498,true,false
UT,"Oct 5 - Oct 21, 2020",6,Statewide,Statewide,3045350,80,11.5,4.43,19.15,0,333,8.9,5.91,12.22,0,321,8,4.94,11.2,0,244,4.2,1.53,7.5,0,427,8.6,4.8,12.85,0,551,9.5,6.03,13.27,0,978,9.1,6.3,11.99,0,277127,191857,365137,true,false
VA,"Oct 9 - Oct 21, 2020",6,Statewide,Statewide,8413774,19,777,,,,260,6.5,2.95,10.73,0,253,4.7,1.45,8.39,0,332,2.4,0.52,4.7,0,304,4.7,1.84,8.39,0,560,3.6,1.9,5.35,0,864,4.1,2.41,6.2,0,344965,202772,521654,false,false
VT,"Oct 9 - Oct 22, 2020",6,Statewide,Statewide,624977,16,777,,,,209,0,0,1.75,2,137,0,0,2.66,2,110,2.5,0,6.74,1,164,0.9,0,2.48,1,308,0,0,1.19,2,472,0.4,0,1.22,1,2500,0,7625,false,true
WA,"Oct 7 - Oct 21, 2020",6,Statewide,Statewide,7294336,136,5,0.87,10.05,0,241,0.5,0,1.82,1,353,1.1,0.22,2.52,1,244,2.9,0.8,5.44,0,449,1.4,0.39,2.85,0,525,2.6,0.88,4.93,0,974,2,0.91,3.21,0,145887,66378,234148,true,true
WI,"Oct 7 - Oct 22, 2020",6,Statewide,Statewide,5778394,58,777,,,,299,6.3,3.7,9.87,0,281,6.6,3.47,9.88,0,335,2.5,0.45,4.85,0,472,5.9,3.51,8.66,0,501,4.1,1.93,6.68,0,973,5,3.41,6.98,0,288920,197043,403332,true,false
WV,"Oct 7 - Oct 22, 2020",6,Statewide,Statewide,1829054,39,777,,,,414,3.9,1.85,6.38,0,334,2.1,0.38,4.29,0,337,1.2,0,3.21,1,448,2.5,0.91,4.32,0,675,2,0.91,3.22,0,1124,2.2,1.29,3.3,0,40239,23595,60359,false,true
WY,"Oct 8 - Oct 21, 2020",6,Statewide,Statewide,581836,5,777,,,,48,777,,,,48,777,,,,22,777,,,,60,777,,,,63,777,,,,123,2.6,0.46,5.78,1,15128,2676,33630,false,true
AK,"Oct 30 - Nov 13, 2020",7,Statewide,Statewide,738516,27,777,,,,618,6,4.04,8.39,0,421,6.2,3.59,9.42,0,347,1.7,0.57,3.28,0,595,8.9,3.82,16.95,0,818,3.5,2.2,5.17,0,1413,6.3,3.68,10.57,0,46527,27177,78061,true,false
AL,"Oct 26 -  Nov 9, 2020",7,Statewide,Statewide,4864680,415,11.2,8.23,14.54,0,338,10.5,6.9,13.9,0,409,7.7,4.99,10.26,0,376,4.7,2.54,6.76,0,629,7.8,5.45,10.35,0,907,10.4,8.24,12.71,0,1538,9.2,7.57,10.99,0,447551,368256,534628,true,false
AR,"Oct 26 -  Nov 6, 2020",7,Statewide,Statewide,2990671,193,9,4.91,13.52,0,583,7.4,5.45,9.74,0,323,5.1,2.64,7.71,0,401,2.2,0.7,3.81,0,622,6.4,4.34,8.61,0,877,6.7,4.89,8.9,0,1500,6.5,5.15,7.98,0,194394,154020,238656,true,false
AZ,"Oct 26 - Nov 10, 2020",7,Statewide,Statewide,6946685,382,11.7,8.55,15.23,0,455,11.1,8.1,14.27,0,448,7.2,4.8,9.68,0,515,5.4,3.27,7.5,0,721,10.6,8.05,13.15,0,1078,8.6,6.45,10.56,0,1800,9.6,8.08,11.12,0,666882,561292,772471,true,false
CA,"Oct 26 - Nov 12, 2020",7,Statewide,Statewide,39148760,321,8.3,5.06,11.67,0,340,7.4,4.73,10.43,0,329,6.2,3.59,9.09,0,325,1.4,0.23,2.93,0,505,6,3.76,8.74,0,807,7.1,4.95,9.36,0,1315,6.6,5.09,8.12,0,2583818,1992672,3178879,true,false
CO,"Oct 30 - Nov 13, 2020",7,Statewide,Statewide,5531141,324,8.3,4.15,14.34,0,329,4.8,2.33,7.76,0,329,3.8,1.51,6.16,0,311,2,0.42,3.89,0,574,6.1,3.57,9.04,0,719,4,2.24,5.74,0,1293,5,3.35,6.8,0,276557,185293,376118,true,false
CT,"Nov 2 - Nov 14, 2020",7,Statewide,Statewide,3581504,305,3.5,1.46,6.01,0,236,3.2,0.93,6.06,0,221,4.4,1.46,7.72,0,247,2.8,0.84,5.45,0,412,5.7,3.19,8.84,0,597,1.3,0.35,2.59,0,1009,3.5,2.09,4.99,0,125353,74853,178717,true,false
DC,"Oct 27 - Nov 11, 2020",7,Statewide,Statewide,684498,161,15.8,10.34,22.67,0,365,7,4.2,9.69,0,327,7.9,5.17,11.23,0,322,8.1,5.14,11.61,0,444,8.7,6.1,11.71,0,730,9,6.51,11.36,0,1175,8.8,6.97,10.67,0,60236,47710,73036,true,false
DE,"Oct 26 -  Nov 9, 2020",7,Statewide,Statewide,949495,61,777,,,,454,9.1,6.37,12.3,0,234,5.5,2.51,8.79,0,200,2.9,0.67,5.3,0,349,13.4,8.63,19.12,0,600,7.5,4.74,10.84,0,949,10.4,7.72,13.62,0,98747,73301,129321,true,false
FL,"Oct 27 -  Nov 4, 2020",7,Statewide,Statewide,20598139,360,8.3,5.22,11.5,0,333,9.2,6.19,12.38,0,330,6.4,4.01,9.55,0,337,4.7,2.44,7.18,0,555,7.6,5.16,10.31,0,804,7.6,5.82,9.49,0,1360,7.6,6.02,9.11,0,1565459,1240008,1876490,true,false
GA,"Oct 27 - Nov 13, 2020",7,Statewide,Statewide,10297484,327,11.9,8.29,15.78,0,337,15.9,11.31,20.99,0,324,10,6.34,13.49,0,342,5,2.66,7.61,0,572,10.5,7.39,13.89,0,758,14.2,10.86,17.84,0,1330,12.4,10.01,14.88,0,1276888,1030778,1532266,true,false
HI,"Oct 29 - Nov 15, 2020",7,Statewide,Statewide,1422029,28,777,,,,264,5.6,2.82,8.81,0,359,1.6,0.42,3.16,0,413,1.5,0.33,3.13,0,376,3.7,1.43,6.47,0,688,2.1,0.89,3.6,0,1064,2.9,1.66,4.68,0,41239,23606,66551,false,false
IA,"Oct 28 - Nov 13, 2020",7,Statewide,Statewide,3132499,69,777,,,,546,12.8,9.98,16.05,0,326,8.9,5.95,12.08,0,252,4.2,1.56,6.82,0,554,11.4,7.81,15.69,0,639,12.4,9.04,16.46,0,1193,11.9,9.37,14.58,0,372767,293515,456718,true,false
ID,"Oct 30 - Nov 13, 2020",7,Statewide,Statewide,1687809,40,777,,,,492,7.3,4.62,10.45,0,344,6.3,3.67,9.2,0,426,5.4,2.79,8.55,0,490,4.5,2.64,6.69,0,812,8.2,4.64,12.61,0,1302,6.3,4.19,8.96,0,106332,70719,151228,true,false
IL,"Oct 26 -  Nov 7, 2020",7,Statewide,Statewide,12821497,327,17.1,12.48,21.52,0,395,14.2,10.57,17.89,0,476,11.8,8.67,14.91,0,359,4,2.22,6.1,0,613,13.4,10.53,16.6,0,944,12.4,9.81,14.87,0,1557,12.9,10.87,14.94,0,1653973,1393697,1915532,true,false
IN,"Oct 29 - Nov 11, 2020",7,Statewide,Statewide,6637426,18,777,,,,677,8.2,5.71,10.9,0,249,5.1,1.49,10.25,0,278,3.1,0.54,7.29,1,273,4.3,1.64,7.98,0,949,8.2,5.33,10.69,0,1222,6.3,4.25,8.59,0,418158,282091,570155,true,true
KS,"Nov 1 - Nov 15, 2020",7,Statewide,Statewide,2908776,317,6.9,3.81,10.36,0,333,4.6,2.37,7.1,0,337,6.7,3.8,9.91,0,330,4.2,1.91,7.09,0,545,4.7,2.56,6.57,0,772,6.3,4.39,8.39,0,1317,5.5,4.17,7.06,0,159983,121296,205360,true,false
KY,"Oct 26 - Nov 10, 2020",7,Statewide,Statewide,4440204,162,9.9,5.04,15.69,0,427,9.6,6.7,12.88,0,545,4.1,2.35,6.08,0,454,2.9,1.1,4.88,0,675,8.4,5.84,11.37,0,912,6.6,4.68,8.88,0,1588,7.5,5.88,9.43,0,333015,261084,418711,true,false
LA,"Oct 28 - Nov 14, 2020",7,Statewide,Statewide,4663616,327,11.7,6.83,16.69,0,333,10.3,6.55,14.5,0,329,8.2,4.63,12.01,0,327,6.6,3.85,9.4,0,564,10,6.49,14.04,0,752,9.4,7.16,11.64,0,1316,9.7,7.49,11.78,0,452371,349305,549374,true,false
MA,"Nov 2 - Nov 11, 2020",7,Statewide,Statewide,6830193,118,2.9,0.65,6.23,0,325,4,1.63,6.44,0,337,5.4,2.56,8.41,0,335,2.3,0.7,4.4,0,432,4.5,2.41,7.14,0,683,3.1,1.62,4.67,0,1115,3.8,2.48,5.2,0,259547,169389,355170,true,false
MD,"Oct 29 - Nov 11, 2020",7,Statewide,Statewide,6003435,74,777,,,,423,7,4.55,9.47,0,395,7.2,4.39,10.07,0,420,1.3,0.32,2.65,0,478,5.5,2.38,9.06,0,834,8.8,6.29,11.53,0,1312,7.2,5.3,9.36,0,432247,318182,561922,true,false
ME,"Nov 2 - Nov 13, 2020",7,Statewide,Statewide,1332813,27,777,,,,401,1.4,0.17,3.13,0,279,0.8,0,2.1,1,288,1.1,0,3.19,1,361,1.2,0,2.73,0,634,0.8,0.13,1.63,0,995,1,0.33,1.79,0,13328,4398,23857,false,true
MI,"Oct 26 - Nov 13, 2020",7,Statewide,Statewide,9957488,58,777,,,,602,12.2,9.52,14.73,0,566,3.9,2.28,5.81,0,390,1.8,0.59,3.16,0,623,10.3,6.17,14.72,0,993,7,4.93,9.35,0,1616,8.6,6.43,11.05,0,856344,640266,1100302,true,false
MN,"Oct 29 - Nov 13, 2020",7,Statewide,Statewide,5527358,122,2,0,4.75,1,407,11,8.09,13.92,0,348,11.8,7.67,16.15,0,426,6.4,3.83,9.42,0,557,10.3,7.16,13.14,0,746,6.4,4.67,8.53,0,1303,8.4,6.79,10.14,0,464298,375308,560474,true,true
MO,"Nov 2 - Nov 10, 2020",7,Statewide,Statewide,6090062,72,777,,,,392,6.8,3.79,9.87,0,745,6.1,3.77,8.56,0,298,3.8,1.45,6.78,0,615,6.5,3.77,9.74,0,892,5.6,3.47,8.16,0,1507,6.1,4.32,7.97,0,371494,263091,485378,true,false
MS,"Oct 25 -  Nov 9, 2020",7,Statewide,Statewide,2988762,213,12.6,8.24,18.01,0,493,12.6,9.64,16.14,0,452,10,7.06,12.95,0,372,5.6,3.47,8.04,0,491,10.5,7.51,13.84,0,1037,11.5,9.45,13.79,0,1530,11,9.31,13.11,0,328764,278254,391827,true,false
MT,"Oct 30 - Nov 13, 2020",7,Statewide,Statewide,1041732,23,777,,,,210,7,3.73,11.29,0,167,10.7,5.76,16.02,0,116,6,1.65,11.06,0,217,5.1,2.48,7.93,0,299,10.4,6.05,16.28,0,516,7.7,4.98,11,0,80213,51878,114591,true,false
NC,"Oct 27 - Nov 10, 2020",7,Statewide,Statewide,10155624,394,8,5.31,11.23,0,476,9.2,6.26,11.9,0,326,7.4,4.1,10.69,0,324,2,0.35,4.1,0,632,8.2,5.93,10.79,0,888,6.7,4.73,8.74,0,1520,7.5,5.89,8.92,0,761672,598166,905882,true,false
ND,"Oct 26 -  Nov 9, 2020",7,Statewide,Statewide,752201,4,777,,,,9,777,,,,11,777,,,,15,777,,,,19,777,,,,20,777,,,,39,777,,,,,,,false,
NE,"Oct 30 - Nov 14, 2020",7,Statewide,Statewide,1904760,101,11.8,5.47,19.79,0,484,14.2,10.68,18.3,0,358,10.1,6.55,13.99,0,345,7.9,4.46,11.43,0,624,13.1,9.67,16.7,0,664,10.7,7.26,14.4,0,1288,11.9,9.58,14.2,0,226666,182476,270476,true,false
NH,"Nov 2 -  Nov 7, 2020",7,Statewide,Statewide,1343622,52,777,,,,434,0.1,0,0.47,1,322,1.2,0.19,2.49,0,491,1.2,0.37,2.19,0,533,0.4,0,0.97,0,766,1.7,0.42,3.45,0,1299,1.1,0.38,1.97,0,14780,5106,26469,true,true
